model,dim,n_ref,cos_mean,cos_std,svd_mean,svd_std,full_mean,full_std,logreg_mean,logreg_std
BAAI/bge-base-en-v1.5,768,5,0.7523071805555556,0.03462408151826647,0.7986070694444445,0.02641817742394083,,,0.7805644861111111,0.045356613364432946
BAAI/bge-base-en-v1.5,768,7,0.7600175555555556,0.027296413700384603,0.8114028472222222,0.0243739154397656,,,0.8002484861111111,0.042602215107181436
BAAI/bge-base-en-v1.5,768,10,0.7649949305555556,0.021498479031098996,0.8225784861111112,0.01700642797485107,0.811232125,0.02554760796660131,0.8212689027777778,0.02268607020613952
BAAI/bge-base-en-v1.5,768,15,0.76687175,0.018474035302762624,0.824856125,0.0157428116904834,0.8147282916666667,0.026148731624643907,0.833093486111111,0.01764597923973738
BAAI/bge-base-en-v1.5,768,20,0.7660452638888888,0.016944819768127777,0.8210440416666667,0.016565345469636103,0.814340375,0.022817380884301287,0.8399209027777778,0.016381668420962416
BAAI/bge-base-en-v1.5,768,30,0.7675502083333333,0.014945757356900374,0.817961986111111,0.014376138851441641,0.814699375,0.020439599089403678,0.8498250416666667,0.012056946899195287
BAAI/bge-base-en-v1.5,768,50,0.7695024722222221,0.012096310723738606,0.8150372361111111,0.01463346608224905,0.8200693194444445,0.01630371125222859,0.8581382083333334,0.008572550670815653
BAAI/bge-base-en-v1.5,768,75,0.7697023194444444,0.010491206889948031,0.8183031527777778,0.013147297508961639,0.8276709861111111,0.01471399365433613,0.863114625,0.007895944724378032
BAAI/bge-base-en-v1.5,768,100,0.7702201805555555,0.009958624025562074,0.8212992361111111,0.012394510476646147,0.8362790694444445,0.014246708857180924,0.8664561805555556,0.007475556518015555
BAAI/bge-base-en-v1.5,768,150,0.7705451527777778,0.009226348752620765,0.8263695694444445,0.01190875575257951,0.849450763888889,0.011599537802818633,0.8710950694444445,0.007757142686354559
BAAI/bge-base-en-v1.5,768,200,0.7706624583333334,0.00907465314035439,0.8302961249999999,0.009705556521808286,0.8588190416666667,0.009519644752786351,0.8743144583333333,0.007467622969912302
all-mpnet-base-v2,768,2,0.7353688611111111,0.0683602658275624,0.7417980694444445,0.06524407216176752,,,0.7287159027777776,0.09929298998369457
all-mpnet-base-v2,768,3,0.7484911527777779,0.0539973023173366,0.7638334583333334,0.04720106523232875,,,0.7521381805555555,0.07721122182060199
all-mpnet-base-v2,768,4,0.7584410416666667,0.03936028468190147,0.7754135694444444,0.03677153461312062,,,0.7736924027777777,0.0674602508528723
all-mpnet-base-v2,768,5,0.7624462222222221,0.04015514422705153,0.787570125,0.027371899550940427,,,0.790890125,0.05210477567180301
all-mpnet-base-v2,768,7,0.7715828888888889,0.0300725309467672,0.7982057361111111,0.021728506635166768,,,0.8108637916666668,0.04277366338158935
all-mpnet-base-v2,768,10,0.7785415972222222,0.020751807405969217,0.8073830694444445,0.015316315743192073,0.8087234583333333,0.026657487568701132,0.8308477361111111,0.024417932846122804
all-mpnet-base-v2,768,15,0.7813832361111112,0.01680174839802507,0.8096051249999999,0.015165433651587871,0.8102882083333333,0.025772978185962466,0.8419489583333334,0.017790516502115526
all-mpnet-base-v2,768,20,0.7818928333333334,0.015935159133831305,0.8094222916666667,0.014376594025565634,0.8110260416666667,0.02328564719662425,0.8478102916666667,0.014413561846422954
all-mpnet-base-v2,768,30,0.7838315277777778,0.014732475592850406,0.8115445972222223,0.013111365283361561,0.8111709583333334,0.02049370569255636,0.8565623194444444,0.011238206949211517
