model,dim,n_ref,seed,auc_cos,auc_svd,auc_full,auc_logreg,best_k_svd
all-MiniLM-L6-v2,384,4,2,0.7817527777777777,0.7731833333333333,,0.7840222222222222,3
all-MiniLM-L6-v2,384,4,3,0.774213888888889,0.7662138888888889,,0.8011638888888888,1
all-MiniLM-L6-v2,384,4,4,0.7803722222222222,0.7830527777777777,,0.7614361111111111,3
all-MiniLM-L6-v2,384,4,5,0.7457361111111112,0.7445638888888889,,0.6531944444444443,3
all-MiniLM-L6-v2,384,4,6,0.7937972222222223,0.8002305555555554,,0.8234555555555556,1
all-MiniLM-L6-v2,384,4,7,0.7776263888888888,0.7844097222222223,,0.7950263888888889,1
all-MiniLM-L6-v2,384,4,8,0.6999430555555556,0.7198791666666666,,0.7255402777777777,2
all-MiniLM-L6-v2,384,4,9,0.6423583333333334,0.708175,,0.6812888888888889,3
all-MiniLM-L6-v2,384,4,10,0.7707222222222222,0.7959944444444444,,0.7895527777777778,3
all-MiniLM-L6-v2,384,4,11,0.6781083333333333,0.6867611111111112,,0.7349055555555555,1
all-MiniLM-L6-v2,384,4,12,0.7687722222222222,0.766525,,0.8077083333333333,2
all-MiniLM-L6-v2,384,4,13,0.8072388888888888,0.8128694444444445,,0.7481333333333332,3
all-MiniLM-L6-v2,384,4,14,0.6701347222222223,0.6768069444444444,,0.5943402777777778,3
all-MiniLM-L6-v2,384,4,15,0.7037625,0.745348611111111,,0.7481986111111111,1
all-MiniLM-L6-v2,384,4,16,0.719436111111111,0.7159777777777778,,0.7675916666666667,3
all-MiniLM-L6-v2,384,4,17,0.6428555555555556,0.6524861111111111,,0.776375,2
all-MiniLM-L6-v2,384,4,18,0.7562333333333333,0.767025,,0.7818388888888889,2
all-MiniLM-L6-v2,384,4,19,0.6774638888888889,0.6752805555555556,,0.7625361111111111,3
all-MiniLM-L6-v2,384,4,20,0.7523236111111111,0.7542319444444445,,0.6914041666666667,2
all-MiniLM-L6-v2,384,4,21,0.6557833333333334,0.6891972222222222,,0.7347138888888889,2
all-MiniLM-L6-v2,384,4,22,0.7224166666666667,0.7408138888888889,,0.7455222222222222,3
all-MiniLM-L6-v2,384,4,23,0.7306722222222222,0.7583500000000001,,0.7799027777777776,1
all-MiniLM-L6-v2,384,4,24,0.6840402777777778,0.7095180555555556,,0.7743930555555556,1
all-MiniLM-L6-v2,384,4,25,0.7172166666666666,0.7588444444444444,,0.7450444444444444,3
all-MiniLM-L6-v2,384,4,26,0.7200194444444445,0.7323972222222223,,0.7543416666666667,3
all-MiniLM-L6-v2,384,4,27,0.6501541666666668,0.6814097222222222,,0.6846652777777777,3
all-MiniLM-L6-v2,384,4,28,0.7762430555555556,0.7691458333333333,,0.6986402777777777,2
all-MiniLM-L6-v2,384,4,29,0.7270708333333333,0.7293652777777777,,0.7030736111111111,3
all-MiniLM-L6-v2,384,4,30,0.720923611111111,0.7347402777777778,,0.7798375000000001,1
all-MiniLM-L6-v2,384,4,31,0.7550208333333334,0.7652763888888889,,0.8214486111111111,2
all-MiniLM-L6-v2,384,4,32,0.8094152777777777,0.8176847222222221,,0.8015958333333334,2
all-MiniLM-L6-v2,384,4,33,0.7682125,0.7676347222222222,,0.7637597222222223,1
all-MiniLM-L6-v2,384,4,34,0.7122902777777778,0.7118263888888888,,0.779351388888889,2
