dataset,model,method,source,n_seeds,mean_auc,std_auc,ci95_low,ci95_high,embedder
Wild,bge-base-en-v1.5,C1_logreg_raw,E2d/E2q,5,0.8727534375000001,0.00394478255258852,0.8678553430237086,0.8776515319762916,
Wild,bge-base-en-v1.5,C1b_logreg_whitened,E2d/E2q,5,0.8227921875000002,0.006109154158012982,0.8152066707225186,0.8303777042774817,
Wild,bge-large-en-v1.5,A1_naive_cosine_raw,E2d/E2q,5,0.767378125,0.0065281594998190555,0.7592723443745428,0.7754839056254572,
Wild,bge-large-en-v1.5,A1b_cosine_whitened,E2d/E2q,5,0.8357304687499999,0.010799537083630153,0.8223210723559898,0.84913986514401,
Wild,bge-large-en-v1.5,A2_rsfi_svd_raw_k20,E2d/E2q,5,0.78388375,0.010986250734449641,0.7702425179877942,0.7975249820122058,
Wild,bge-large-en-v1.5,A3_rsfi_svd_whitened_k20,E2d/E2q,5,0.79135484375,0.010003975351186536,0.7789332677175138,0.8037764197824862,
Wild,bge-large-en-v1.5,B1_discriminant_mean_raw,E2d/E2q,5,0.871923125,0.005020135530260903,0.8656898034459715,0.8781564465540286,
Wild,bge-large-en-v1.5,B1b_discriminant_mean_whitened,E2d/E2q,5,0.83232921875,0.012884507563591685,0.8163309895737041,0.8483274479262959,
Wild,bge-large-en-v1.5,B2_contrastive_svd_raw_k20,E2d/E2q,5,0.8140670312500001,0.0086886359946068,0.8032786647419995,0.8248553977580008,
Wild,bge-large-en-v1.5,B2b_contrastive_svd_whitened_k20,E2d/E2q,5,0.83096109375,0.005252946717676607,0.8244386989261784,0.8374834885738217,
Wild,bge-large-en-v1.5,C1_logreg_raw,E2d/E2q,5,0.88036625,0.0027658083007758533,0.8769320454069935,0.8838004545930065,
Wild,bge-large-en-v1.5,C1b_logreg_whitened,E2d/E2q,5,0.82451625,0.014537534232127966,0.8064655171213119,0.842566982878688,
XSTest,Qwen3-Embedding-8B,A1_naive_cosine_raw,E2d/E2q,5,0.7824202341585484,0.01586061605651233,0.7627266782118445,0.8021137901052524,
XSTest,Qwen3-Embedding-8B,A1b_cosine_whitened,E2d/E2q,5,0.9380731075163107,0.011637032680055925,0.9236238229915645,0.9525223920410568,
