source,dataset,model,pair,n_seeds,auc_diff_mean,auc_diff_std,wins_m1,ties,losses,p_mean,p_max,frac_p_below_0_05,n_valid_p
E12,AdvBench,all-mpnet-base-v2,B1w_vs_B1b,5,0.0002999999999999324,0.00026201592270319823,4,0,1,0.34813971723846837,0.8516933831744791,0.0,
E12,AdvBench,bge-base-en-v1.5,A3_vs_A1,5,-0.02600312499999994,0.010613627875504541,0,0,5,0.000270853756839975,0.0008020652713507,1.0,
E12,AdvBench,bge-base-en-v1.5,B1_vs_A1,5,0.00652187500000002,0.0016207350883356922,5,0,0,0.0051836545550471595,0.0126490311663924,1.0,
E12,AdvBench,bge-base-en-v1.5,B1_vs_C1,5,-0.00163749999999998,0.0006212190321758721,0,0,5,0.02001067663561888,0.029627217184929,1.0,
E12,AdvBench,bge-base-en-v1.5,B1b_vs_A1b,5,0.0002281249999999531,0.0001807374217614398,5,0,0,0.19021485470619154,0.3705523877851044,0.2,
E12,AdvBench,bge-base-en-v1.5,B1b_vs_B1,10,0.0021343749999999,0.0006943003322690116,10,0,0,0.04627747133726282,0.0965767043768246,0.6,
E12,AdvBench,bge-base-en-v1.5,B1b_vs_C1b,5,-3.125000000000728e-05,0.00010481568644530856,2,0,3,0.3023697845305222,0.4225329179050987,0.0,
E12,AdvBench,bge-base-en-v1.5,B1w_vs_B1,5,0.00227812499999992,0.0008030854805452163,5,0,0,0.03221548254218928,0.0539018021969199,0.8,
E12,AdvBench,bge-base-en-v1.5,B1w_vs_B1b,5,0.00014374999999996257,0.00011288994917610765,5,0,0,0.41595120281867254,0.7896338038843933,0.0,
E12,AdvBench,bge-large-en-v1.5,A3_vs_A1,5,-0.035506250000000024,0.012649354796107685,0,0,5,1.9431446128814756e-05,8.083376639334006e-05,1.0,
E12,AdvBench,bge-large-en-v1.5,B1_vs_A1,5,0.0026781249999999596,0.0007429354783559843,5,0,0,0.02920279142051444,0.065681667368425,0.8,
E12,AdvBench,bge-large-en-v1.5,B1_vs_C1,5,-0.00062187499999992,0.00020503905877904585,0,0,5,0.0722457715559294,0.096639720525423,0.2,
E12,AdvBench,bge-large-en-v1.5,B1b_vs_A1b,5,8.7499999999948e-05,9.795267511653909e-05,3,1,1,0.5233907100948388,1.0,0.0,
E12,AdvBench,bge-large-en-v1.5,B1b_vs_B1,10,0.00033437499999989996,0.00029103353901802136,8,0,2,0.40207923749271757,0.8023302126937093,0.0,
E12,AdvBench,bge-large-en-v1.5,B1b_vs_C1b,5,5.312499999995015e-05,0.0001373756540020657,2,1,2,0.6571254526715481,1.0,0.0,
E12,AdvBench,bge-large-en-v1.5,B1w_vs_B1,5,0.0005968749999998799,0.00023212461295067557,5,0,0,0.18727393702719597,0.4042991215313143,0.2,
E12,AdvBench,bge-large-en-v1.5,B1w_vs_B1b,5,0.00026249999999994,0.00010089927681854703,5,0,0,0.21985819809616788,0.3341912536789677,0.0,
E12,HarmBench,Qwen3-Embedding-8B,A3_vs_A1,5,0.05444499999999995,0.022052532450945395,5,0,0,0.04719764600263349,0.2065715316349132,0.8,
E12,HarmBench,Qwen3-Embedding-8B,B1_vs_A1,5,0.15719999999999992,0.01031114385022339,5,0,0,7.549516567451064e-16,1.7763568394002505e-15,1.0,
E12,HarmBench,Qwen3-Embedding-8B,B1_vs_C1,5,-0.00012000000000000834,0.00013851895177194204,0,1,4,0.4971872303767172,1.0,0.0,
E12,HarmBench,Qwen3-Embedding-8B,B1b_vs_A1b,5,3.499999999998504e-05,4.873397172402807e-05,2,3,0,,,0.0,
E12,HarmBench,Qwen3-Embedding-8B,B1b_vs_B1,10,-4.499999999998221e-05,0.00021819970465399661,6,2,2,0.6098042324402125,1.0,0.0,
E12,HarmBench,Qwen3-Embedding-8B,B1b_vs_C1b,5,-1.500000000000945e-05,3.7914377220293836e-05,1,2,2,,,0.0,
