dataset,embedder,seed,method,roc_auc,tpr_fpr1,tpr_fpr5,tpr_fpr10,fpr_tpr90,brier,ece10
AdvBench,Qwen3-Embedding-8B,1,B1w_SigmaW,0.999859375,1.0,1.0,1.0,0.0,0.08533074602273599,0.23888737103686886
AdvBench,Qwen3-Embedding-8B,2,A1_raw,0.99671875,0.975,0.9875,0.990625,0.0,0.06632917365936611,0.2037111027022967
AdvBench,Qwen3-Embedding-8B,2,B1_raw,0.999984375,1.0,1.0,1.0,0.0,0.05550939093307042,0.2077899886725041
AdvBench,Qwen3-Embedding-8B,2,B1b_SigmaT,0.999984375,1.0,1.0,1.0,0.0,0.15255560087374254,0.32920965460630564
AdvBench,Qwen3-Embedding-8B,2,B1w_SigmaW,1.0,1.0,1.0,1.0,0.0,0.07587596224855922,0.23890346095252496
AdvBench,Qwen3-Embedding-8B,3,A1_raw,0.99615625,0.965625,0.9875,0.9875,0.0,0.06640374157920541,0.19976262152194973
AdvBench,Qwen3-Embedding-8B,3,B1_raw,0.9999375,0.996875,1.0,1.0,0.0,0.049761386347801084,0.191646359115839
AdvBench,Qwen3-Embedding-8B,3,B1b_SigmaT,0.999984375,1.0,1.0,1.0,0.0,0.19591464656499116,0.36554857521102974
AdvBench,Qwen3-Embedding-8B,3,B1w_SigmaW,0.999984375,1.0,1.0,1.0,0.0,0.09027208763792884,0.2561911929971897
AdvBench,Qwen3-Embedding-8B,4,A1_raw,0.9966562499999999,0.975,0.984375,0.990625,0.0,0.06441587671390409,0.20128774631481905
AdvBench,Qwen3-Embedding-8B,4,B1_raw,1.0,1.0,1.0,1.0,0.0,0.050758777002757424,0.19732147257488505
AdvBench,Qwen3-Embedding-8B,4,B1b_SigmaT,0.99996875,1.0,1.0,1.0,0.0,0.16069971066012403,0.3364339053057708
AdvBench,Qwen3-Embedding-8B,4,B1w_SigmaW,1.0,1.0,1.0,1.0,0.0,0.0855003986909905,0.25379900535425315
HarmBench,all-mpnet-base-v2,0,A1_raw,0.9453,0.51,0.72,0.81,0.18,0.1293177342577864,0.1656789947859943
HarmBench,all-mpnet-base-v2,0,B1_raw,0.99375,0.9,0.965,0.985,0.01,0.0888650130196831,0.22083054795861243
HarmBench,all-mpnet-base-v2,0,B1b_SigmaT,0.9982749999999999,0.985,0.985,0.995,0.0,0.10209509633149776,0.2811099414899945
HarmBench,all-mpnet-base-v2,0,B1w_SigmaW,0.999075,0.985,0.995,1.0,0.0,0.07780289160675531,0.2364600124768913
HarmBench,all-mpnet-base-v2,1,A1_raw,0.948475,0.485,0.665,0.785,0.135,0.1296992770742638,0.18728867910802366
HarmBench,all-mpnet-base-v2,1,B1_raw,0.99135,0.89,0.97,0.985,0.02,0.09162202906302674,0.2197065319679678
HarmBench,all-mpnet-base-v2,1,B1b_SigmaT,0.99735,0.955,0.985,0.985,0.0,0.10424591729355709,0.2746207247115672
HarmBench,all-mpnet-base-v2,1,B1w_SigmaW,0.998,0.965,0.985,0.995,0.0,0.07986324385794248,0.23725244363769893
HarmBench,all-mpnet-base-v2,2,A1_raw,0.9467249999999999,0.43,0.735,0.85,0.155,0.12857680683009243,0.1764616012573242
HarmBench,all-mpnet-base-v2,2,B1_raw,0.9897250000000001,0.875,0.965,0.98,0.02,0.09314437667668296,0.214861426949501
HarmBench,all-mpnet-base-v2,2,B1b_SigmaT,0.9991499999999999,0.97,0.995,1.0,0.0,0.10578534745939833,0.29089655756950383
HarmBench,all-mpnet-base-v2,2,B1w_SigmaW,0.9994999999999999,0.985,1.0,1.0,0.0,0.08215366825357574,0.24874065421521663
HarmBench,all-mpnet-base-v2,3,A1_raw,0.94385,0.455,0.715,0.835,0.165,0.12916426336281883,0.16289567295461893
HarmBench,all-mpnet-base-v2,3,B1_raw,0.9935499999999999,0.915,0.97,0.985,0.01,0.08218022700875334,0.20304087072610855
HarmBench,all-mpnet-base-v2,3,B1b_SigmaT,0.9986,0.975,0.985,0.995,0.0,0.09789878942242253,0.27375523272901775
HarmBench,all-mpnet-base-v2,3,B1w_SigmaW,0.998925,0.975,0.99,1.0,0.0,0.08884883521902133,0.25717049777507783
HarmBench,all-mpnet-base-v2,4,A1_raw,0.945275,0.36,0.695,0.835,0.14,0.12745979781520522,0.18259073743596674
HarmBench,all-mpnet-base-v2,4,B1_raw,0.9897,0.8,0.95,0.985,0.03,0.09237923240382759,0.21418206226080658
HarmBench,all-mpnet-base-v2,4,B1b_SigmaT,0.9984249999999999,0.975,0.985,1.0,0.0,0.11953238949920376,0.2885856194607914
HarmBench,all-mpnet-base-v2,4,B1w_SigmaW,0.9990249999999999,0.96,1.0,1.0,0.0,0.09616973346293499,0.2766389751620591
HarmBench,bge-base-en-v1.5,0,A1_raw,0.9009,0.43,0.6,0.715,0.265,0.17848997797421215,0.1815869659371674
HarmBench,bge-base-en-v1.5,0,B1_raw,0.9920499999999999,0.925,0.97,0.98,0.01,0.08587491548334233,0.21302810449153184
HarmBench,bge-base-en-v1.5,0,B1b_SigmaT,0.99745,0.96,0.995,0.995,0.0,0.09908983363212584,0.2637830268871039
HarmBench,bge-base-en-v1.5,0,B1w_SigmaW,0.9984500000000001,0.975,0.995,0.995,0.0,0.07463157573627337,0.22772539062425493
HarmBench,bge-base-en-v1.5,1,A1_raw,0.892525,0.33,0.485,0.72,0.27,0.19583456494376514,0.185835048481822
HarmBench,bge-base-en-v1.5,1,B1_raw,0.989125,0.875,0.945,0.985,0.02,0.09391398023036247,0.2220739474147558
HarmBench,bge-base-en-v1.5,1,B1b_SigmaT,0.9951749999999999,0.89,0.985,0.99,0.02,0.12047971597609969,0.2940692981891334
HarmBench,bge-base-en-v1.5,1,B1w_SigmaW,0.995925,0.94,0.985,0.995,0.01,0.09306443672054897,0.26754896303638814
HarmBench,bge-base-en-v1.5,2,A1_raw,0.8812249999999999,0.28,0.465,0.66,0.355,0.19289403809042446,0.1759963296353817
HarmBench,bge-base-en-v1.5,2,B1_raw,0.98895,0.845,0.96,0.975,0.03,0.09395647229187659,0.21868949729949236
HarmBench,bge-base-en-v1.5,2,B1b_SigmaT,0.9975,0.955,0.975,0.995,0.0,0.10275622999473999,0.25929204359650604
HarmBench,bge-base-en-v1.5,2,B1w_SigmaW,0.9983,0.97,0.98,1.0,0.0,0.0922400486663168,0.24896862369962033
HarmBench,bge-base-en-v1.5,3,A1_raw,0.895075,0.345,0.535,0.685,0.295,0.1893313510023628,0.1922522486373782
HarmBench,bge-base-en-v1.5,3,B1_raw,0.98855,0.865,0.95,0.975,0.03,0.09004320206280408,0.2071937740594149
HarmBench,bge-base-en-v1.5,3,B1b_SigmaT,0.9984500000000001,0.96,0.995,1.0,0.0,0.09142949620967458,0.2559227161481976
HarmBench,bge-base-en-v1.5,3,B1w_SigmaW,0.998775,0.96,1.0,1.0,0.0,0.08415758933398326,0.24135558111593125
HarmBench,bge-base-en-v1.5,4,A1_raw,0.8883500000000001,0.315,0.5,0.64,0.315,0.18863515277885956,0.17318178262561562
HarmBench,bge-base-en-v1.5,4,B1_raw,0.989975,0.835,0.925,0.985,0.04,0.09721578621297597,0.22308546004816887
HarmBench,bge-base-en-v1.5,4,B1b_SigmaT,0.9972000000000001,0.915,0.99,1.0,0.005,0.11813640368913295,0.28945026399567725
HarmBench,bge-base-en-v1.5,4,B1w_SigmaW,0.998475,0.975,0.995,1.0,0.0,0.09427951374277171,0.2561558751575649
HarmBench,bge-large-en-v1.5,0,A1_raw,0.934575,0.39,0.64,0.8,0.145,0.16731178901406132,0.2114726956188679
HarmBench,bge-large-en-v1.5,0,B1_raw,0.992525,0.885,0.97,0.975,0.015,0.09211181416091038,0.2259906585514546
HarmBench,bge-large-en-v1.5,0,B1b_SigmaT,0.99895,0.995,0.995,0.995,0.0,0.11612546766540476,0.31188144795596595
HarmBench,bge-large-en-v1.5,0,B1w_SigmaW,0.9995499999999999,0.995,0.995,1.0,0.0,0.08700901422016559,0.26692086186259983
HarmBench,bge-large-en-v1.5,1,A1_raw,0.932825,0.37,0.61,0.835,0.165,0.19044350202124638,0.22504090640693905
HarmBench,bge-large-en-v1.5,1,B1_raw,0.9934999999999999,0.85,0.975,0.985,0.025,0.08764633159884633,0.2268040694575757
HarmBench,bge-large-en-v1.5,1,B1b_SigmaT,0.99845,0.965,1.0,1.0,0.005,0.12320119267020652,0.31110421111807224
HarmBench,bge-large-en-v1.5,1,B1w_SigmaW,0.998775,0.97,1.0,1.0,0.005,0.09309600141265248,0.2733522409945726
HarmBench,bge-large-en-v1.5,2,A1_raw,0.9137375,0.255,0.475,0.77,0.23,0.1906472677735571,0.21220767819322647
HarmBench,bge-large-en-v1.5,2,B1_raw,0.989525,0.875,0.965,0.98,0.025,0.09282674063528579,0.21099705055356027
HarmBench,bge-large-en-v1.5,2,B1b_SigmaT,0.99875,0.955,1.0,1.0,0.0,0.11971069138527532,0.29416917787864805
