dataset,embedder,method,mean_roc_auc,std_roc_auc,mean_tpr_fpr1,mean_tpr_fpr5,mean_tpr_fpr10,mean_fpr_tpr90,mean_brier,mean_ece10
HarmBench,Qwen3-Embedding-8B,B1b_SigmaT,0.99982,0.00020946360065652296,0.999,0.999,1.0,0.0,0.21635927195334936,0.3775748952813447
HarmBench,Qwen3-Embedding-8B,B1w_SigmaW,0.9998699999999999,0.0001726629664983123,0.999,1.0,1.0,0.0,0.13143694886860688,0.31704630099609493
HarmBench,all-mpnet-base-v2,A1_raw,0.9459249999999999,0.001750803387019797,0.44800000000000006,0.706,0.8230000000000001,0.155,0.12884357586803333,0.17498313710838556
HarmBench,all-mpnet-base-v2,B1_raw,0.991615,0.0019756011743264582,0.876,0.9640000000000001,0.984,0.018,0.08963817563439469,0.2145242879725992
HarmBench,all-mpnet-base-v2,B1b_SigmaT,0.9983599999999999,0.0006544558808659437,0.9720000000000001,0.9869999999999999,0.9949999999999999,0.0,0.10591150800121585,0.28179361519217494
HarmBench,all-mpnet-base-v2,B1w_SigmaW,0.9989049999999999,0.0005515319573696738,0.974,0.994,0.999,0.0,0.08496767448004591,0.2512525166533887
HarmBench,bge-base-en-v1.5,A1_raw,0.891615,0.007376029589148917,0.33999999999999997,0.517,0.684,0.3,0.1890370169579248,0.18177047506347296
HarmBench,bge-base-en-v1.5,B1_raw,0.98973,0.0013972517668623503,0.869,0.95,0.9800000000000001,0.026000000000000002,0.09220087125627222,0.21681415666267273
HarmBench,bge-base-en-v1.5,B1b_SigmaT,0.997155,0.001204730260265731,0.9359999999999999,0.9880000000000001,0.9960000000000001,0.005,0.10637833590035453,0.2725034697633236
HarmBench,bge-base-en-v1.5,B1w_SigmaW,0.9979849999999999,0.0011643936190137865,0.9639999999999999,0.991,0.998,0.002,0.08767463283997878,0.24835088672675187
HarmBench,bge-large-en-v1.5,A1_raw,0.9262024999999999,0.008258264799581104,0.32200000000000006,0.5780000000000001,0.799,0.184,0.18316294367070252,0.21506892679352313
HarmBench,bge-large-en-v1.5,B1_raw,0.9910900000000001,0.0021048010594828543,0.8649999999999999,0.969,0.9789999999999999,0.026000000000000002,0.09065153562746883,0.21673903276398776
HarmBench,bge-large-en-v1.5,B1b_SigmaT,0.998505,0.00044805133634441893,0.975,0.9950000000000001,0.998,0.002,0.11774621368298857,0.2955367471892386
HarmBench,bge-large-en-v1.5,B1w_SigmaW,0.9988999999999999,0.0004952903189040047,0.9789999999999999,0.9970000000000001,1.0,0.002,0.08775542340144446,0.26004796713590617
