dataset,seed,n_ref_mal,n_ref_safe,n_test_attack,n_test_safe,obfuscation,method,roc_auc,pr_auc
Wild,1,200,200,800,800,base64,EXT:toxic-bert,0.885509375,0.7995200203575438
Wild,1,200,200,800,800,leetspeak,EXT:toxic-bert,0.9286109375,0.8549318530317108
Wild,1,200,200,800,800,rot13,EXT:toxic-bert,0.85764375,0.7191744509760091
Wild,1,200,200,800,800,zero_width,EXT:toxic-bert,0.7241953125,0.6847780846073964
Wild,1,200,200,800,800,homoglyph,EXT:toxic-bert,0.9621765624999999,0.9353899000559657
Wild,2,200,200,800,800,clean,EXT:deberta-v3-base-prompt-injection-v2,0.83847109375,0.8208532942874308
Wild,2,200,200,800,800,base64,EXT:deberta-v3-base-prompt-injection-v2,0.8954640625,0.7598610436083557
Wild,2,200,200,800,800,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.91343046875,0.7873095917107784
Wild,2,200,200,800,800,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.845209375,0.7004656240263512
Wild,2,200,200,800,800,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9376765625,0.8312889749167689
Wild,2,200,200,800,800,homoglyph,EXT:deberta-v3-base-prompt-injection-v2,0.89863828125,0.7992500163008108
Wild,2,200,200,800,800,clean,EXT:toxic-bert,0.7205726562499999,0.6823852574574185
Wild,2,200,200,800,800,base64,EXT:toxic-bert,0.8810046874999999,0.7955749827351042
Wild,2,200,200,800,800,leetspeak,EXT:toxic-bert,0.9250875000000001,0.8468474954282076
Wild,2,200,200,800,800,rot13,EXT:toxic-bert,0.8534453125000001,0.7129004289527852
Wild,2,200,200,800,800,zero_width,EXT:toxic-bert,0.7206804687499999,0.6824603409037228
Wild,2,200,200,800,800,homoglyph,EXT:toxic-bert,0.9593296874999999,0.9318242255789181
Wild,3,200,200,800,800,clean,EXT:deberta-v3-base-prompt-injection-v2,0.8387828125,0.8171770801156399
Wild,3,200,200,800,800,base64,EXT:deberta-v3-base-prompt-injection-v2,0.899271875,0.764348359998949
Wild,3,200,200,800,800,leetspeak,EXT:deberta-v3-base-prompt-injection-v2,0.9158367187500001,0.7908350711561638
Wild,3,200,200,800,800,rot13,EXT:deberta-v3-base-prompt-injection-v2,0.8547671875,0.7116182160634611
Wild,3,200,200,800,800,zero_width,EXT:deberta-v3-base-prompt-injection-v2,0.9385648437499999,0.8331569764006955
