dataset,model,dim,seed,n_ref_mal,n_ref_safe,n_test,method,roc_auc,pr_auc
XSTest,all-mpnet-base-v2,768,2,66,83,301,B1_raw,0.7757172222718741,0.7704885091141855
XSTest,all-mpnet-base-v2,768,2,66,83,301,B1b_SigmaT_wh,0.9007507373313075,0.8786477561328833
XSTest,all-mpnet-base-v2,768,2,66,83,301,B1w_SigmaW_wh,0.9030744481186879,0.8793148883519994
XSTest,all-mpnet-base-v2,768,3,66,83,301,B1_raw,0.7772365716328536,0.7837378882794935
XSTest,all-mpnet-base-v2,768,3,66,83,301,B1b_SigmaT_wh,0.9152739297524354,0.8888194931448994
XSTest,all-mpnet-base-v2,768,3,66,83,301,B1w_SigmaW_wh,0.9157654839574582,0.8897114224425953
XSTest,all-mpnet-base-v2,768,4,66,83,301,B1_raw,0.7943515953168291,0.8096934440511783
XSTest,all-mpnet-base-v2,768,4,66,83,301,B1b_SigmaT_wh,0.878630798105282,0.8634802413913553
XSTest,all-mpnet-base-v2,768,4,66,83,301,B1w_SigmaW_wh,0.8809545088926624,0.8669025634429643
XSTest,bge-base-en-v1.5,768,0,66,83,301,B1_raw,0.8092322817052463,0.7953010456490899
XSTest,bge-base-en-v1.5,768,0,66,83,301,B1b_SigmaT_wh,0.8894003038698722,0.8614798310469283
XSTest,bge-base-en-v1.5,768,0,66,83,301,B1w_SigmaW_wh,0.8923496291000088,0.8640514018106225
XSTest,bge-base-en-v1.5,768,1,66,83,301,B1_raw,0.7384037894360532,0.7512563124138455
XSTest,bge-base-en-v1.5,768,1,66,83,301,B1b_SigmaT_wh,0.8677719188488694,0.8456507635150694
XSTest,bge-base-en-v1.5,768,1,66,83,301,B1w_SigmaW_wh,0.8771114487443025,0.8557166958454625
XSTest,bge-base-en-v1.5,768,2,66,83,301,B1_raw,0.782286173920815,0.7681197628787095
XSTest,bge-base-en-v1.5,768,2,66,83,301,B1b_SigmaT_wh,0.8774689427115918,0.8573144871797818
XSTest,bge-base-en-v1.5,768,2,66,83,301,B1w_SigmaW_wh,0.8786754848511932,0.859279047430368
XSTest,bge-base-en-v1.5,768,3,66,83,301,B1_raw,0.773482884976316,0.7672365500590196
XSTest,bge-base-en-v1.5,768,3,66,83,301,B1b_SigmaT_wh,0.8749217981946555,0.8471362885388654
XSTest,bge-base-en-v1.5,768,3,66,83,301,B1w_SigmaW_wh,0.8820716775404416,0.8552988617258386
XSTest,bge-base-en-v1.5,768,4,66,83,301,B1_raw,0.7839395835195281,0.7824054921805039
XSTest,bge-base-en-v1.5,768,4,66,83,301,B1b_SigmaT_wh,0.8302797390294038,0.8246653685655354
XSTest,bge-base-en-v1.5,768,4,66,83,301,B1w_SigmaW_wh,0.8357315220305658,0.8271980672039868
XSTest,bge-large-en-v1.5,1024,0,66,83,301,B1_raw,0.8128965948699616,0.8233574618373802
XSTest,bge-large-en-v1.5,1024,0,66,83,301,B1b_SigmaT_wh,0.8914112074358745,0.8810266706314626
XSTest,bge-large-en-v1.5,1024,0,66,83,301,B1w_SigmaW_wh,0.8908302797390293,0.8788795232338203
XSTest,bge-large-en-v1.5,1024,1,66,83,301,B1_raw,0.7447046206095272,0.7760059605253758
XSTest,bge-large-en-v1.5,1024,1,66,83,301,B1b_SigmaT_wh,0.8997229421753508,0.8754398207034155
XSTest,bge-large-en-v1.5,1024,1,66,83,301,B1w_SigmaW_wh,0.8991867012244168,0.8758323892267292
XSTest,bge-large-en-v1.5,1024,2,66,83,301,B1_raw,0.7738850656895165,0.7725636511500935
XSTest,bge-large-en-v1.5,1024,2,66,83,301,B1b_SigmaT_wh,0.8816248100813299,0.8717700656580425
XSTest,bge-large-en-v1.5,1024,2,66,83,301,B1w_SigmaW_wh,0.881088569130396,0.8728243453362352
XSTest,bge-large-en-v1.5,1024,3,66,83,301,B1_raw,0.7768343909196533,0.7874197472691036
XSTest,bge-large-en-v1.5,1024,3,66,83,301,B1b_SigmaT_wh,0.9009294843149521,0.8867148157241315
XSTest,bge-large-en-v1.5,1024,3,66,83,301,B1w_SigmaW_wh,0.9028510143891321,0.8892951200632133
XSTest,bge-large-en-v1.5,1024,4,66,83,301,B1_raw,0.7981946554651892,0.804451020270128
XSTest,bge-large-en-v1.5,1024,4,66,83,301,B1b_SigmaT_wh,0.8646885333809992,0.8533948747329687
XSTest,bge-large-en-v1.5,1024,4,66,83,301,B1w_SigmaW_wh,0.8667441236929128,0.8547645798522154
