train_ds,target_ds,embedder,seed,method,n_test,roc_auc,pr_auc,tpr_fpr1,tpr_fpr5
Wild,AdvBench,all-mpnet-base-v2,2,B1w_SigmaW,400,0.352475,0.3970278783865525,0.0,0.005
Wild,AdvBench,all-mpnet-base-v2,2,DELONG_B1w_vs_A1,400,0.0,,,
Wild,HarmBench,all-mpnet-base-v2,2,A1_raw,400,0.6714749999999999,0.5948594661441186,0.0,0.035
Wild,HarmBench,all-mpnet-base-v2,2,B1_raw,400,0.65975,0.6131311086674703,0.025,0.105
Wild,HarmBench,all-mpnet-base-v2,2,B1b_SigmaT,400,0.483775,0.4720833252677354,0.005,0.025
Wild,HarmBench,all-mpnet-base-v2,2,B1w_SigmaW,400,0.48955,0.4795507519863634,0.01,0.025
Wild,HarmBench,all-mpnet-base-v2,2,DELONG_B1w_vs_A1,400,1.0973004803238595e-05,,,
Wild,Wild,all-mpnet-base-v2,3,A1_raw,400,0.7599125,0.7153502217040588,0.035,0.14
Wild,Wild,all-mpnet-base-v2,3,B1_raw,400,0.8497125,0.806186169690732,0.06,0.2
Wild,Wild,all-mpnet-base-v2,3,B1b_SigmaT,400,0.8175,0.7926433539665751,0.12,0.32
Wild,Wild,all-mpnet-base-v2,3,B1w_SigmaW,400,0.832175,0.8051005096368891,0.14,0.33
Wild,Wild,all-mpnet-base-v2,3,DELONG_B1w_vs_A1,400,0.0004336270396254,,,
Wild,ToxicChat,all-mpnet-base-v2,3,A1_raw,400,0.737875,0.7574776158219154,0.185,0.325
Wild,ToxicChat,all-mpnet-base-v2,3,B1_raw,400,0.65955,0.7028464489945347,0.15,0.28
Wild,ToxicChat,all-mpnet-base-v2,3,B1b_SigmaT,400,0.6700749999999999,0.7090044664761959,0.17,0.245
Wild,ToxicChat,all-mpnet-base-v2,3,B1w_SigmaW,400,0.6693,0.71210597436291,0.2,0.255
Wild,ToxicChat,all-mpnet-base-v2,3,DELONG_B1w_vs_A1,400,0.0098219393561702,,,
Wild,XSTest,all-mpnet-base-v2,3,A1_raw,400,0.628225,0.6338851432238373,0.05,0.115
Wild,XSTest,all-mpnet-base-v2,3,B1_raw,400,0.592375,0.534397905241052,0.0,0.025
Wild,XSTest,all-mpnet-base-v2,3,B1b_SigmaT,400,0.561875,0.534525758609071,0.0,0.045
Wild,XSTest,all-mpnet-base-v2,3,B1w_SigmaW,400,0.5677000000000001,0.5466692533155117,0.0,0.07
Wild,XSTest,all-mpnet-base-v2,3,DELONG_B1w_vs_A1,400,0.0727560907632762,,,
Wild,AdvBench,all-mpnet-base-v2,3,A1_raw,400,0.8245250000000001,0.7316962801091023,0.0,0.105
Wild,AdvBench,all-mpnet-base-v2,3,B1_raw,400,0.8215250000000001,0.7753611019711019,0.025,0.3
Wild,AdvBench,all-mpnet-base-v2,3,B1b_SigmaT,400,0.488375,0.4648073774971921,0.0,0.01
Wild,AdvBench,all-mpnet-base-v2,3,B1w_SigmaW,400,0.506475,0.476195003322131,0.005,0.01
Wild,AdvBench,all-mpnet-base-v2,3,DELONG_B1w_vs_A1,400,0.0,,,
Wild,HarmBench,all-mpnet-base-v2,3,A1_raw,400,0.691875,0.5938482149692534,0.0,0.0
Wild,HarmBench,all-mpnet-base-v2,3,B1_raw,400,0.6988749999999999,0.6412728590509381,0.02,0.11
Wild,HarmBench,all-mpnet-base-v2,3,B1b_SigmaT,400,0.5127250000000001,0.5154639248356444,0.025,0.06
Wild,HarmBench,all-mpnet-base-v2,3,B1w_SigmaW,400,0.5191250000000001,0.5147966343328754,0.02,0.04
Wild,HarmBench,all-mpnet-base-v2,3,DELONG_B1w_vs_A1,400,4.210452166031331e-06,,,
Wild,Wild,all-mpnet-base-v2,4,A1_raw,400,0.83315,0.8212653670255678,0.09,0.31
Wild,Wild,all-mpnet-base-v2,4,B1_raw,400,0.91095,0.894448464388835,0.32,0.58
Wild,Wild,all-mpnet-base-v2,4,B1b_SigmaT,400,0.828975,0.8307420809104359,0.145,0.395
Wild,Wild,all-mpnet-base-v2,4,B1w_SigmaW,400,0.8589500000000001,0.8562194981330449,0.17,0.47
Wild,Wild,all-mpnet-base-v2,4,DELONG_B1w_vs_A1,400,0.1927497061861389,,,
Wild,ToxicChat,all-mpnet-base-v2,4,A1_raw,400,0.7253,0.7498032297402106,0.215,0.305
Wild,ToxicChat,all-mpnet-base-v2,4,B1_raw,400,0.7076749999999999,0.737916617384898,0.16,0.305
Wild,ToxicChat,all-mpnet-base-v2,4,B1b_SigmaT,400,0.67285,0.696626623313227,0.155,0.205
Wild,ToxicChat,all-mpnet-base-v2,4,B1w_SigmaW,400,0.713875,0.7353297796374582,0.145,0.235
