seed,method,roc_auc,n_test,k
2,B2b_contrastive_svd_whitened_k20,0.9294191138090359,4682,20.0
2,B2b_contrastive_svd_whitened_k50,0.9326427687667949,4682,50.0
2,B2b_contrastive_svd_whitened_k100,0.9390514141550835,4682,100.0
2,B2b_contrastive_svd_whitened_k200,0.9203184507123939,4682,200.0
2,C1_logreg_raw,0.9740657683608174,4682,
2,C1b_logreg_whitened,0.9565471127264292,4682,
3,A1_naive_cosine_raw,0.9123740986332091,4682,
3,A1b_cosine_whitened400,0.959419162139695,4682,
3,A2_rsfi_svd_raw_k1,0.9056960098207899,4682,1.0
3,A2_rsfi_svd_raw_k2,0.9014223712954549,4682,2.0
3,A2_rsfi_svd_raw_k5,0.9318948518181994,4682,5.0
3,A2_rsfi_svd_raw_k10,0.9296800993678349,4682,10.0
3,A2_rsfi_svd_raw_k20,0.9319045179500068,4682,20.0
3,A2_rsfi_svd_raw_k50,0.9307820383938756,4682,50.0
3,A2_rsfi_svd_raw_k100,0.9327321804860129,4682,100.0
3,A2_rsfi_svd_raw_k200,0.9299108782647361,4682,200.0
3,A3_rsfi_svd_whitened400_k1,0.5751710905329905,4682,1.0
3,A3_rsfi_svd_whitened400_k2,0.6148831847971079,4682,2.0
3,A3_rsfi_svd_whitened400_k5,0.6698750169157308,4682,5.0
3,A3_rsfi_svd_whitened400_k10,0.7827101900361514,4682,10.0
3,A3_rsfi_svd_whitened400_k20,0.879640951534015,4682,20.0
3,A3_rsfi_svd_whitened400_k50,0.9175696444796722,4682,50.0
3,A3_rsfi_svd_whitened400_k100,0.9180885949310804,4682,100.0
3,A3_rsfi_svd_whitened400_k200,0.9042944207087208,4682,200.0
3,B1_discriminant_mean_raw,0.9494618381116245,4682,
3,B1b_discriminant_mean_whitened,0.9611783981286368,4682,
3,B2_contrastive_svd_raw_k1,0.9041131807373326,4682,1.0
3,B2_contrastive_svd_raw_k2,0.9009825622982195,4682,2.0
3,B2_contrastive_svd_raw_k5,0.94888549500261,4682,5.0
3,B2_contrastive_svd_raw_k10,0.9493700098594545,4682,10.0
3,B2_contrastive_svd_raw_k20,0.9522481006050998,4682,20.0
3,B2_contrastive_svd_raw_k50,0.9482946526958841,4682,50.0
3,B2_contrastive_svd_raw_k100,0.9482759245655075,4682,100.0
3,B2_contrastive_svd_raw_k200,0.9364367255011888,4682,200.0
3,B2b_contrastive_svd_whitened_k1,0.7142328957797669,4682,1.0
3,B2b_contrastive_svd_whitened_k2,0.8686505596690317,4682,2.0
3,B2b_contrastive_svd_whitened_k5,0.9412389806097397,4682,5.0
3,B2b_contrastive_svd_whitened_k10,0.9175068146229242,4682,10.0
3,B2b_contrastive_svd_whitened_k20,0.9159711079320277,4682,20.0
3,B2b_contrastive_svd_whitened_k50,0.9316725307866298,4682,50.0
3,B2b_contrastive_svd_whitened_k100,0.9270521197827054,4682,100.0
3,B2b_contrastive_svd_whitened_k200,0.9139533029172386,4682,200.0
3,C1_logreg_raw,0.9657951843331336,4682,
3,C1b_logreg_whitened,0.9575741392309625,4682,
4,A1_naive_cosine_raw,0.9217067488932279,4682,
4,A1b_cosine_whitened400,0.9622779206217256,4682,
4,A2_rsfi_svd_raw_k1,0.9132198851663542,4682,1.0
4,A2_rsfi_svd_raw_k2,0.9055582674425349,4682,2.0
4,A2_rsfi_svd_raw_k5,0.9472035880681268,4682,5.0
4,A2_rsfi_svd_raw_k10,0.9476228565352717,4682,10.0
4,A2_rsfi_svd_raw_k20,0.9456243837840972,4682,20.0
4,A2_rsfi_svd_raw_k50,0.9494425058480098,4682,50.0
4,A2_rsfi_svd_raw_k100,0.9478439693003654,4682,100.0
4,A2_rsfi_svd_raw_k200,0.9432126838981577,4682,200.0
4,A3_rsfi_svd_whitened400_k1,0.6054490401531115,4682,1.0
4,A3_rsfi_svd_whitened400_k2,0.6355360836700369,4682,2.0
4,A3_rsfi_svd_whitened400_k5,0.7254576913410791,4682,5.0
4,A3_rsfi_svd_whitened400_k10,0.7859326367274344,4682,10.0
4,A3_rsfi_svd_whitened400_k20,0.8746580605873141,4682,20.0
4,A3_rsfi_svd_whitened400_k50,0.9297211804280163,4682,50.0
4,A3_rsfi_svd_whitened400_k100,0.932530399984534,4682,100.0
4,A3_rsfi_svd_whitened400_k200,0.9089849111682486,4682,200.0
4,B1_discriminant_mean_raw,0.955929688557233,4682,
4,B1b_discriminant_mean_whitened,0.9621111798480484,4682,
4,B2_contrastive_svd_raw_k1,0.8909805324105399,4682,1.0
4,B2_contrastive_svd_raw_k2,0.8808190113480387,4682,2.0
4,B2_contrastive_svd_raw_k5,0.9553920099754482,4682,5.0
4,B2_contrastive_svd_raw_k10,0.961270226380807,4682,10.0
4,B2_contrastive_svd_raw_k20,0.9571693699615288,4682,20.0
