dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
XSTest,Qwen3-Embedding-8B,4096,2,A1_naive_cosine_raw,0.772901957279471,0.7963602088189661,301
XSTest,Qwen3-Embedding-8B,4096,2,A1b_cosine_whitened,0.935204218428814,0.9211071924329532,301
XSTest,Qwen3-Embedding-8B,4096,2,A2_rsfi_svd_raw_k20,0.8451157386719099,0.8467142945210098,301
XSTest,Qwen3-Embedding-8B,4096,2,A3_rsfi_svd_whitened_k20,0.769639824827956,0.7035219271714492,301
XSTest,Qwen3-Embedding-8B,4096,2,B1_discriminant_mean_raw,0.8057020287782645,0.8079085238881925,301
XSTest,Qwen3-Embedding-8B,4096,2,B1b_discriminant_mean_whitened,0.9355617123961033,0.9210522479159102,301
XSTest,Qwen3-Embedding-8B,4096,2,C1_logreg_raw,0.9242559656805791,0.8995191788883272,301
XSTest,Qwen3-Embedding-8B,4096,2,C1b_logreg_whitened,0.9350254714451693,0.9198688557680104,301
XSTest,Qwen3-Embedding-8B,4096,3,A1_naive_cosine_raw,0.7837161497899723,0.8005411488654763,301
XSTest,Qwen3-Embedding-8B,4096,3,A1b_cosine_whitened,0.9503977120386095,0.9460036792671435,301
XSTest,Qwen3-Embedding-8B,4096,3,A2_rsfi_svd_raw_k20,0.8570917865761015,0.8481178116866424,301
XSTest,Qwen3-Embedding-8B,4096,3,A3_rsfi_svd_whitened_k20,0.7697738850656896,0.6752747803294545,301
XSTest,Qwen3-Embedding-8B,4096,3,B1_discriminant_mean_raw,0.8187952453302352,0.8226521849436448,301
XSTest,Qwen3-Embedding-8B,4096,3,B1b_discriminant_mean_whitened,0.950576459022254,0.9463079334249842,301
XSTest,Qwen3-Embedding-8B,4096,3,C1_logreg_raw,0.940700688175887,0.9292091842404362,301
XSTest,Qwen3-Embedding-8B,4096,3,C1b_logreg_whitened,0.9502636518008759,0.9460316762281891,301
XSTest,Qwen3-Embedding-8B,4096,4,A1_naive_cosine_raw,0.7897488604879792,0.809984613178616,301
XSTest,Qwen3-Embedding-8B,4096,4,A1b_cosine_whitened,0.9196085441058182,0.9144145023199244,301
XSTest,Qwen3-Embedding-8B,4096,4,A2_rsfi_svd_raw_k20,0.8408704978103494,0.8262947331724224,301
XSTest,Qwen3-Embedding-8B,4096,4,A3_rsfi_svd_whitened_k20,0.7591384395388328,0.6949964508109714,301
XSTest,Qwen3-Embedding-8B,4096,4,B1_discriminant_mean_raw,0.8494503530252927,0.855012968915224,301
XSTest,Qwen3-Embedding-8B,4096,4,B1b_discriminant_mean_whitened,0.9197872910894629,0.9145896911507465,301
XSTest,Qwen3-Embedding-8B,4096,4,C1_logreg_raw,0.9138439538832782,0.9051433711184185,301
XSTest,Qwen3-Embedding-8B,4096,4,C1b_logreg_whitened,0.9193851103762624,0.9140595362620308,301
