dataset,model,dim,seed,method,roc_auc,pr_auc,n_test
ToxicChat,bge-base-en-v1.5,768,2,B1_discriminant_mean_raw,0.9567428518955283,0.6530952768391326,4682
ToxicChat,bge-base-en-v1.5,768,2,B1b_discriminant_mean_whitened,0.9528075279834516,0.6932373412311403,4682
ToxicChat,bge-base-en-v1.5,768,2,B2_contrastive_svd_raw_k20,0.9514699769946063,0.6707033636793351,4682
ToxicChat,bge-base-en-v1.5,768,2,B2b_contrastive_svd_whitened_k20,0.9308243277205327,0.5302947608888942,4682
ToxicChat,bge-base-en-v1.5,768,2,C1_logreg_raw,0.9705400467840779,0.6996057326045586,4682
ToxicChat,bge-base-en-v1.5,768,2,C1b_logreg_whitened,0.9509733794730024,0.6792994739287075,4682
ToxicChat,bge-base-en-v1.5,768,3,A1_naive_cosine_raw,0.8711154232799118,0.4218141732843092,4682
ToxicChat,bge-base-en-v1.5,768,3,A1b_cosine_whitened,0.9586410385292014,0.6631134529709507,4682
ToxicChat,bge-base-en-v1.5,768,3,A2_rsfi_svd_raw_k20,0.9033616389893093,0.4774659994479343,4682
ToxicChat,bge-base-en-v1.5,768,3,A3_rsfi_svd_whitened_k20,0.8631456976047325,0.3591074809413059,4682
ToxicChat,bge-base-en-v1.5,768,3,B1_discriminant_mean_raw,0.9469474355752315,0.6336107002394661,4682
ToxicChat,bge-base-en-v1.5,768,3,B1b_discriminant_mean_whitened,0.9578532487869004,0.6589878640717254,4682
ToxicChat,bge-base-en-v1.5,768,3,B2_contrastive_svd_raw_k20,0.9508948421520675,0.5801178395602808,4682
ToxicChat,bge-base-en-v1.5,768,3,B2b_contrastive_svd_whitened_k20,0.9206543487927001,0.45212885292271277,4682
ToxicChat,bge-base-en-v1.5,768,3,C1_logreg_raw,0.9652720049490594,0.68802152888304,4682
ToxicChat,bge-base-en-v1.5,768,3,C1b_logreg_whitened,0.9535034894735824,0.6297024247375257,4682
ToxicChat,bge-base-en-v1.5,768,4,A1_naive_cosine_raw,0.884425686778665,0.42146251360321246,4682
ToxicChat,bge-base-en-v1.5,768,4,A1b_cosine_whitened,0.9412782492702071,0.6595453315903874,4682
ToxicChat,bge-base-en-v1.5,768,4,A2_rsfi_svd_raw_k20,0.9231911042588976,0.5307278041465054,4682
ToxicChat,bge-base-en-v1.5,768,4,A3_rsfi_svd_whitened_k20,0.8157937344133626,0.3746381740602431,4682
ToxicChat,bge-base-en-v1.5,768,4,B1_discriminant_mean_raw,0.9492866394726158,0.6139161234205749,4682
ToxicChat,bge-base-en-v1.5,768,4,B1b_discriminant_mean_whitened,0.9416431457459354,0.6579646973922024,4682
ToxicChat,bge-base-en-v1.5,768,4,B2_contrastive_svd_raw_k20,0.9533125833703868,0.6351955541285267,4682
ToxicChat,bge-base-en-v1.5,768,4,B2b_contrastive_svd_whitened_k20,0.8858176097589268,0.46789720278858654,4682
ToxicChat,bge-base-en-v1.5,768,4,C1_logreg_raw,0.9707708256809789,0.6829360464042064,4682
ToxicChat,bge-base-en-v1.5,768,4,C1b_logreg_whitened,0.9378963114041023,0.6401016597562965,4682
ToxicChat,bge-large-en-v1.5,1024,0,A1_naive_cosine_raw,0.8721962176426238,0.43758927516408436,4682
ToxicChat,bge-large-en-v1.5,1024,0,A1b_cosine_whitened,0.9510241266649913,0.6591336769377553,4682
ToxicChat,bge-large-en-v1.5,1024,0,A2_rsfi_svd_raw_k20,0.9127353703095096,0.5199304492193831,4682
ToxicChat,bge-large-en-v1.5,1024,0,A3_rsfi_svd_whitened_k20,0.8497472306532373,0.3567851520910916,4682
ToxicChat,bge-large-en-v1.5,1024,0,B1_discriminant_mean_raw,0.945382730488913,0.6358523682203561,4682
ToxicChat,bge-large-en-v1.5,1024,0,B1b_discriminant_mean_whitened,0.9536502938504069,0.659851110759006,4682
ToxicChat,bge-large-en-v1.5,1024,0,B2_contrastive_svd_raw_k20,0.9492238096158679,0.5460965768067749,4682
ToxicChat,bge-large-en-v1.5,1024,0,B2b_contrastive_svd_whitened_k20,0.9181798190500126,0.45540869517513377,4682
ToxicChat,bge-large-en-v1.5,1024,0,C1_logreg_raw,0.9646400815821525,0.7136932290930132,4682
ToxicChat,bge-large-en-v1.5,1024,0,C1b_logreg_whitened,0.9523508032555532,0.6413833737591514,4682
