dataset,seed,n_test,model,pair,method_1,method_2,auc_1,auc_2,auc_diff,p_value
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9949,0.99995,-0.005049999999999999,0.0019977831413882097
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,0,1320,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.99925,0.0007500000000000284,0.2207295923344501
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.98800625,0.99925,-0.011243749999999997,1.442042712884728e-05
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,1,1320,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999825,0.00017500000000003624,0.1961243986438641
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.989678125,0.999825,-0.010146875,0.00011533041497191476
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,2,1320,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.9991468750000001,0.0008531249999998991,0.22398535699690791
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9966468749999999,0.9991468750000001,-0.0025000000000001688,0.03314911698288614
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_vs_A1b,B1b_discriminant_mean_whitened,A1b_cosine_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1w_vs_B1b,B1w_SigmaW_wh,B1b_SigmaT_wh,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_SigmaT_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,3,1320,bge-base-en-v1.5,B1w_vs_B1,B1w_SigmaW_wh,B1_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_vs_C1b,B1b_discriminant_mean_whitened,C1b_logreg_whitened,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1_vs_A1,B1_discriminant_mean_raw,A1_naive_cosine_raw,1.0,0.999321875,0.0006781249999999739,0.2798325231765224
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1_vs_C1,B1_discriminant_mean_raw,C1_logreg_raw,1.0,1.0,0.0,
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,A3_vs_A1,A3_rsfi_svd_whitened_k20,A1_naive_cosine_raw,0.9960249999999999,0.999321875,-0.003296875000000088,0.003088451094647615
AdvBench_BB_Safe,4,1320,bge-base-en-v1.5,B1b_vs_B1,B1b_discriminant_mean_whitened,B1_discriminant_mean_raw,1.0,1.0,0.0,
