dataset,seed,n_test,model,method,roc_auc,pr_auc
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1_raw,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,1,1320,Qwen3-Embedding-8B,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,A1_naive_cosine_raw,0.996865625,0.9955626599394918
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,0.9999625,0.9998853987709793
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,0.996796875,0.9926977656059722
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1_raw,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,2,1320,Qwen3-Embedding-8B,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,A1_naive_cosine_raw,0.99640625,0.994716632618119
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,A1b_cosine_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,A2_rsfi_svd_raw_k20,0.999671875,0.9992115972217115
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,A3_rsfi_svd_whitened_k20,0.9968781250000001,0.9946369961651589
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1_discriminant_mean_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1b_discriminant_mean_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B2_contrastive_svd_raw_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B2b_contrastive_svd_whitened_k20,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,C1_logreg_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,C1b_logreg_whitened,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1_raw,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1b_SigmaT_wh,1.0,1.0
AdvBench_BB_Safe,3,1320,Qwen3-Embedding-8B,B1w_SigmaW_wh,1.0,1.0
AdvBench_BB_Safe,4,1320,Qwen3-Embedding-8B,A1_naive_cosine_raw,0.996775,0.9948421278611986
