dataset,seed,n_test,model,cos_mu_mal_safe,mal_homog,safe_homog
AdvBench_BB_Mixed,2,720,bge-base-en-v1.5,0.6485090255737305,0.6042092442512512,0.6244874000549316
AdvBench_BB_Mixed,3,720,bge-base-en-v1.5,0.6578025817871094,0.6039883494377136,0.6138938665390015
AdvBench_BB_Mixed,4,720,bge-base-en-v1.5,0.6739158630371094,0.6020576357841492,0.596520721912384
AdvBench_BB_Mixed,0,720,bge-large-en-v1.5,0.6555514335632324,0.6289024949073792,0.6031311750411987
AdvBench_BB_Mixed,1,720,bge-large-en-v1.5,0.6743662357330322,0.629691481590271,0.5817476511001587
AdvBench_BB_Mixed,2,720,bge-large-en-v1.5,0.648868978023529,0.6257198452949524,0.6066762804985046
AdvBench_BB_Mixed,3,720,bge-large-en-v1.5,0.6579457521438599,0.6259820461273193,0.5985298156738281
AdvBench_BB_Mixed,4,720,bge-large-en-v1.5,0.6735105514526367,0.6222323179244995,0.5796718001365662
AdvBench_BB_Mixed,0,720,Qwen3-Embedding-8B,0.48036301136016846,0.5115125179290771,0.49267029762268066
AdvBench_BB_Mixed,1,720,Qwen3-Embedding-8B,0.5007466077804565,0.5075528621673584,0.47651395201683044
AdvBench_BB_Mixed,2,720,Qwen3-Embedding-8B,0.48661819100379944,0.5148703455924988,0.5036421418190002
AdvBench_BB_Mixed,3,720,Qwen3-Embedding-8B,0.5010525584220886,0.5132135152816772,0.4946572780609131
AdvBench_BB_Mixed,4,720,Qwen3-Embedding-8B,0.5107219219207764,0.5102846622467041,0.4742158055305481
HarmBench_BB_Safe,0,1200,all-mpnet-base-v2,0.22819145023822784,0.19350425899028778,0.3140656054019928
HarmBench_BB_Safe,1,1200,all-mpnet-base-v2,0.23818549513816833,0.19492347538471222,0.3124345541000366
HarmBench_BB_Safe,2,1200,all-mpnet-base-v2,0.23245307803153992,0.19526155292987823,0.31391021609306335
HarmBench_BB_Safe,3,1200,all-mpnet-base-v2,0.2195442169904709,0.19429658353328705,0.31739717721939087
HarmBench_BB_Safe,4,1200,all-mpnet-base-v2,0.2170780599117279,0.19396013021469116,0.30800655484199524
HarmBench_BB_Safe,0,1200,bge-base-en-v1.5,0.7585785388946533,0.5197324752807617,0.6134270429611206
HarmBench_BB_Safe,1,1200,bge-base-en-v1.5,0.7620786428451538,0.5217839479446411,0.6142057776451111
HarmBench_BB_Safe,2,1200,bge-base-en-v1.5,0.7626603245735168,0.5235782265663147,0.61373370885849
HarmBench_BB_Safe,3,1200,bge-base-en-v1.5,0.7577106952667236,0.5209251046180725,0.6160788536071777
HarmBench_BB_Safe,4,1200,bge-base-en-v1.5,0.7583193778991699,0.5199938416481018,0.6095370054244995
HarmBench_BB_Safe,0,1200,bge-large-en-v1.5,0.7653589248657227,0.5360007882118225,0.579181969165802
HarmBench_BB_Safe,1,1200,bge-large-en-v1.5,0.7728551626205444,0.5346294641494751,0.5872313976287842
HarmBench_BB_Safe,2,1200,bge-large-en-v1.5,0.765524685382843,0.5386984348297119,0.5809502005577087
HarmBench_BB_Safe,3,1200,bge-large-en-v1.5,0.7662249803543091,0.535444438457489,0.5822479724884033
HarmBench_BB_Safe,4,1200,bge-large-en-v1.5,0.7671623826026917,0.5340084433555603,0.579647421836853
