train_ds,target_ds,embedder,method,mean_auc,std_auc
HarmBench,Wild,Qwen3-Embedding-8B,B1w_SigmaW,0.6971225000000001,0.032946960690631195
HarmBench,Wild,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.20995004193215064,0.33265455021544316
HarmBench,Wild,all-mpnet-base-v2,A1_raw,0.5072225,0.01498913252159708
HarmBench,Wild,all-mpnet-base-v2,B1_raw,0.6628875,0.02755331763145778
HarmBench,Wild,all-mpnet-base-v2,B1b_SigmaT,0.5626575,0.02048873470959103
HarmBench,Wild,all-mpnet-base-v2,B1w_SigmaW,0.5768425,0.013945882008679156
HarmBench,Wild,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.05709250032414488,0.03694438454524222
HarmBench,Wild,bge-base-en-v1.5,A1_raw,0.5415575,0.023563525508187386
HarmBench,Wild,bge-base-en-v1.5,B1_raw,0.6636875,0.0260110268083557
HarmBench,Wild,bge-base-en-v1.5,B1b_SigmaT,0.60069,0.05580605183915996
HarmBench,Wild,bge-base-en-v1.5,B1w_SigmaW,0.615625,0.04599226922130507
HarmBench,Wild,bge-base-en-v1.5,DELONG_B1w_vs_A1,0.16812825168246687,0.31476059581763655
HarmBench,Wild,bge-large-en-v1.5,A1_raw,0.5791575,0.02551132193507423
HarmBench,Wild,bge-large-en-v1.5,B1_raw,0.6679975,0.027882103074822032
HarmBench,Wild,bge-large-en-v1.5,B1b_SigmaT,0.614925,0.061583540186278686
HarmBench,Wild,bge-large-en-v1.5,B1w_SigmaW,0.630975,0.06068072245882542
HarmBench,Wild,bge-large-en-v1.5,DELONG_B1w_vs_A1,0.19641690441809548,0.3329109347215335
HarmBench,XSTest,Qwen3-Embedding-8B,A1_raw,0.767,0.006681855094208464
HarmBench,XSTest,Qwen3-Embedding-8B,B1_raw,0.8203099999999999,0.006764073292033364
HarmBench,XSTest,Qwen3-Embedding-8B,B1b_SigmaT,0.8234199999999999,0.009177918473161512
HarmBench,XSTest,Qwen3-Embedding-8B,B1w_SigmaW,0.8278549999999999,0.007941532440278757
HarmBench,XSTest,Qwen3-Embedding-8B,DELONG_B1w_vs_A1,0.01563946868261922,0.012409788437378293
HarmBench,XSTest,all-mpnet-base-v2,A1_raw,0.755495,0.007256385119327707
HarmBench,XSTest,all-mpnet-base-v2,B1_raw,0.79552,0.007411043280132734
HarmBench,XSTest,all-mpnet-base-v2,B1b_SigmaT,0.8032299999999999,0.014877598512528858
HarmBench,XSTest,all-mpnet-base-v2,B1w_SigmaW,0.8138,0.011770102484685524
HarmBench,XSTest,all-mpnet-base-v2,DELONG_B1w_vs_A1,0.005628994628540119,0.007137410998453735
